Obs_Yield_t_ha,HarvestDOY,RainYearly,RadiationYearly,TmaxYearly,TminYearly
7.51,203,676.0909091,4644.207818,15.5347198,5.65369863
7.65,207,619.6545455,4495.753364,15.02388543,5.096064757
8.82,211,633.8727273,4572.633818,14.79428713,4.954396423
7.2,221,806.0363636,4306.160182,13.41334994,4.258879203
7.9,187,645.8636364,4648.621,16.49740971,5.725404732
6.59,217,940.3625,4262.521125,13.70914384,4.721335616
7.57,212,972.8875,4352.198,14.44361339,5.268681694
6.85,212,1040.55,4307.705875,13.48890411,4.531712329
7.21,208,1067.9625,4372.832,14.31609589,5.131712329
6.2,204,577.225,4785.67725,14.74099315,4.038116438
8.63,223,814.425,4366.14,13.30481557,4.235314208
7.3,220,914.6125,4367.47625,13.05856164,3.677465753
6.94,222,803.475,4500.95775,13.88780822,4.254486301
7.84,194,914.5375,4589.534875,14.50188356,4.91739726
7.8,215,757.775,4401.440625,14.03961749,4.822848361
7.01,217,856.825,4338.744625,13.73034247,4.569383562
6.51,217,953.6125,4207.861625,12.32554795,3.715856164
8,213,799.5625,4606.347875,14.55359589,4.595650685
7.41,212,923.65,4465.383,13.85836749,4.264993169
7.67,222,856.625,4169.40075,13.00393836,4.092705479
9.23,209,758.5375,4248.572625,14.87719178,5.191335616
7.94,209,714.2875,4437.6765,15.1030137,4.873869863
7.28,205,845.25,4272.425375,14.21690574,4.727459016
8.52,211,807.8125,4481.188625,14.29167808,4.321952055
8.56,205,724.225,4789.165125,15.52174658,5.280582192
8.62,208,730.075,4601.83775,15.03873288,4.76390411
8.85,211,793.9625,4711.412875,14.98114754,4.826571038
7.88,220,859.675,4530.7295,13.73226027,3.935308219
8.16,189,746.75,4794.736375,16.56417808,5.246986301
6.54,217,892.5571429,4197.346429,13.79037182,4.735890411
6.98,212,916.6285714,4256.884857,14.44968774,5.265964091
7.2,212,953.5428571,4248.223857,13.54767123,4.567436399
6.46,208,980.1,4307.209571,14.33898239,5.167632094
6.13,203,530.4,4722.883429,14.86187867,4.075342466
7.89,222,736.6,4311.671143,13.41194379,4.25117096
6.98,221,878.0142857,4297.302429,13.0562818,3.617338552
6.59,222,791.7285714,4426.007857,13.93373777,4.274755382
7.8,195,917.4142857,4525.909143,14.58121331,4.894324853
7.57,215,809.2,4332.800857,14.09168618,4.801795472
5.58,218,865.3428571,4270.176429,13.64966732,4.424657534
6.37,218,894.7285714,4161.735429,12.24931507,3.540391389
7.49,215,783.8714286,4541.346286,14.49248532,4.521643836
7.68,212,849.1285714,4401.697571,13.80956284,4.208196721
7.9,223,849.2285714,4108.372286,12.92626223,4.115851272
8.3,209,757.9142857,4206.502143,14.85135029,5.225362035
8.59,209,692.2,4363.663286,15.06258317,4.907123288
7.43,205,790.7428571,4234.542143,14.21736924,4.768188915
7.25,212,780.4857143,4437.187286,14.30340509,4.332798434
7.19,204,726.4,4736.541714,15.56481409,5.313463796
7.85,208,716.6571429,4554.534,15.05150685,4.748767123
8.43,211,735.5428571,4657.992429,14.97306792,4.805308353
7.14,220,898.2571429,4452.484143,13.70422701,3.960469667
7.18,189,660.3,4737.798857,16.55675147,5.224774951
6.17,219,1043.2,4179.339333,13.55105023,4.575890411
7.22,216,1153.866667,4282.639333,14.26566485,5.165209472
6.84,212,1132.533333,4246.949,13.38502283,4.539178082
6.46,211,1259.1,4283.475333,14.19671233,5.056712329
6.52,204,741.7666667,4689.437667,14.59269406,4.065388128
8.11,225,932.1,4299.92,13.16675774,4.274590164
7.29,225,987.8666667,4312.091,12.85863014,3.415981735
7.12,226,838.3,4446.898333,13.69652968,4.137808219
7.99,197,1019.833333,4508.970333,14.16785388,4.707945205
7.84,218,813.4666667,4312.956,13.63005464,4.498998179
6.73,223,889.1333333,4290.692333,13.55652968,4.217808219
6.5,221,999.2,4143.705667,12.05607306,3.455159817
7.19,216,876.8,4563.098,14.41305936,4.530410959
7.75,213,923,4400.569667,13.63998179,4.28715847
7.82,222,915.0333333,4094.212333,12.83990868,4.255525114
8.13,211,828.8666667,4181.839333,14.52876712,5.20347032
8.39,211,820.6666667,4409.257,14.67972603,4.914246575
7.32,207,955.5666667,4202.737,13.89635701,4.922040073
8.28,213,872.6666667,4398.168,14.07488584,4.482191781
8.61,206,815.7666667,4704.189,15.18447489,5.333059361
8.91,209,813.7333333,4531.403,14.78757991,4.875068493
9.71,210,870.8,4658.987667,14.86812386,5.123588342
7.49,220,932.3666667,4440.403667,13.43716895,4.073242009
8.05,190,684.4,4775.593667,16.3969863,5.406027397
6.28,221,1259.58,4176.004,13.17347945,4.526246575
7.11,219,1166.08,4299.8314,13.91251366,5.199726776
7,213,1097.22,4254.5682,13.06969863,4.545150685
6.24,212,1330.58,4281.5182,13.88416438,5.03660274
7.23,205,772.48,4704.0932,14.19030137,4.151945205
7.96,226,887.48,4319.1518,12.87120219,4.29568306
7.18,223,949.3,4388.3768,12.76284932,3.792
7.01,225,946.86,4528.0998,13.6069589,4.309369863
7.74,197,1071.18,4541.0564,13.98109589,4.855013699
8.34,218,834.5,4337.0466,13.64382514,4.616338798
6.94,225,883.16,4328.1212,13.44421918,3.85769863
6.68,224,1038.36,4238.9624,11.92641096,3.049041096
7.36,219,908.94,4625.6628,14.34663014,4.136109589
7.94,216,928.24,4423.603,13.54939891,3.837486339
7.67,227,965.62,4104.0642,12.5969863,3.805863014
8.85,215,845.68,4206.024,14.48334247,4.882246575
8.71,213,910.68,4453.6324,14.61857534,4.530739726
7.57,210,1002.52,4227.959,13.82650273,4.548087432
8.76,213,901.48,4451.211,13.92926027,4.187561644
8.7,209,773.68,4720.1052,15.04624658,5.050684932
8.6,212,853.2,4559.283,14.53315068,4.524273973
8.51,213,862.92,4710.089,14.71715847,4.817431694
7.52,222,963.56,4483.7034,13.25775342,3.772109589
8.14,191,803.54,4825.545,16.25961644,5.195561644
6.21,218,961.1875,4242.584125,13.67821918,4.419383562
6.68,213,999.0625,4357.521125,14.53268443,4.942964481
6.63,214,1042.4625,4274.318375,13.54328767,4.15859589
6.28,210,1085.3125,4347.116625,14.48047945,4.700924658
6.15,206,652.7375,4771.805875,14.7615411,3.487054795
7.73,225,773.8875,4309.767125,13.4090847,3.743989071
6.6,221,913.175,4330.139375,13.15636986,3.231986301
6.49,224,850.7625,4461.4455,13.82,3.709212329
7.72,197,872.475,4508.642375,14.64246575,4.472979452
7.42,217,801.1,4359.2585,14.1635929,4.453449454
6.33,217,903.3375,4282.6705,13.85691781,4.320171233
6.14,218,923.8125,4140.41875,12.53510274,3.425616438
7.46,216,769.1125,4527.18,14.62537671,4.227876712
7.35,211,887.4125,4377.89375,14.04603825,4.217110656
6.9,221,873.9375,4148.726625,13.19921233,4.075513699
8.23,211,751.375,4203.70025,14.96921233,5.086027397
7.69,208,677.8375,4396.992625,15.23123288,4.750205479
6.83,206,924.8125,4211.07775,14.2818306,4.679849727
8.17,211,802.15,4393.15625,14.40236301,4.315513699
7.81,206,683.25,4656.617625,15.71424658,5.217979452
8.33,207,726.875,4480.98475,15.20208904,4.640924658
8.7,212,845.725,4577.39925,15.05269809,4.70795765
6.87,218,862.925,4483.10325,14.01931507,3.980547945
7.9,188,749.6,4644.542875,16.70955479,5.261061644
6.39,215,834.875,4170.077125,13.95510274,4.918458904
7.02,211,838.025,4223.5215,14.59214481,5.370252732
7.2,211,941.225,4237.268625,13.5080137,4.496130137
6.65,207,1014.35,4234.6795,14.47880137,5.350342466
5.33,204,499.4625,4673.557625,14.62321918,3.863253425
7.99,225,690.3,4280.117125,13.35027322,4.070935792
7,219,825.1125,4240.823125,13.11784247,3.709965753
6.71,219,672.575,4384.2785,14.27078767,4.650205479
7.45,194,837.775,4477.846,14.62267123,4.913356164
7.83,213,675.425,4310.879375,14.08254781,4.654405738
6.99,219,717.45,4241.574,13.78756849,4.501472603
6.58,217,847.1,4096.014125,12.39859589,3.645890411
7.25,213,667.225,4482.397625,14.66958904,4.739212329
7.16,210,723.4,4360.41,14.03961749,4.42260929
7.54,220,776.4625,4046.88175,13.11434932,4.48010274
8.62,205,701.725,4144.62975,14.99493151,5.65630137
7.92,207,567.4625,4332.284,15.11369863,5.149109589
7.84,204,720.125,4163.19225,14.2619877,5.070765027
7.39,209,736.7625,4345.544125,14.41393836,4.756438356
8.46,202,699.85,4673.261,15.73804795,5.641952055
7.99,206,648.475,4520.8265,15.20376712,5.132842466
9.15,208,700.3625,4614.888,15.13165984,5.130532787
7.67,218,838.4125,4356.960875,13.74996575,4.346164384
